week_end_date,market,brand,product_description,upc,flavor,category,season,merchandise_condition,unit_sales,dollar_sales,price_per_unit
2022-01-08,FLORIDA,BEYOND MEAT,BEYOND SAUSAGE PLANT-BASED LINKS 14OZ,1000000432533,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Feature And Display,720,6112.8,8.49
2022-01-08,CALIFORNIA,BEYOND MEAT BEYOND BURGER,BEYOND BURGER PLANT-BASED PATTIES 8OZ,1000000772224,REGULAR,FROZEN PLANT-BASED MEAT,Winter,No Merch,959,9254.35,9.65
2022-01-08,FLORIDA,BEYOND MEAT BEYOND BURGER,BEYOND BURGER PLANT-BASED PATTIES 8OZ,1000000772224,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Feature Only,2062,20269.46,9.83
2022-01-08,TEXAS,GARDEIN,GARDEIN ULTIMATE BEEFLESS BURGER 14OZ,1000000328237,CLASSIC,FROZEN PLANT-BASED MEAT,Winter,Any Merch,1335,8851.05,6.63
2022-01-08,WEST,GARDEIN,GARDEIN SEVEN GRAIN CRISPY TENDERS 10.5OZ,1000000809224,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Feature Only,541,3202.72,5.92
2022-01-08,NORTHEAST,GARDEIN,GARDEIN SEVEN GRAIN CRISPY TENDERS 10.5OZ,1000000809224,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Price Reductions Only,656,4434.56,6.76
2022-01-08,SOUTHEAST,GARDEIN,GARDEIN ULTIMATE BEEFLESS BURGER 14OZ,1000000328237,REGULAR,FROZEN PLANT-BASED MEAT,Winter,No Merch,936,5016.96,5.36
2022-01-08,TOTAL US,GARDEIN,GARDEIN SEVEN GRAIN CRISPY TENDERS 10.5OZ,1000000809224,CLASSIC,FROZEN PLANT-BASED MEAT,Winter,Feature And Display,1113,5887.77,5.29
2022-01-08,NORTHEAST,IMPOSSIBLE,IMPOSSIBLE SPICY BURGER 12OZ,1000000211924,SPICY BLACK BEAN,FROZEN PLANT-BASED MEAT,Winter,Display Only,2158,17954.56,8.32
2022-01-08,FLORIDA,IMPOSSIBLE,IMPOSSIBLE SPICY BURGER 12OZ,1000000211924,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Feature Only,1045,9854.35,9.43
2022-01-08,NEW YORK,MORNINGSTAR FARMS,MORNINGSTAR FARMS BACON STRIPS 5.25OZ,1000000470437,CLASSIC,FROZEN PLANT-BASED MEAT,Winter,No Merch,583,3684.56,6.32
2022-01-08,MIDWEST,MORNINGSTAR FARMS,MORNINGSTAR FARMS VEGGIE BURGER 9OZ,1000000656098,REGULAR,FROZEN PLANT-BASED MEAT,Winter,No Merch,1212,7987.08,6.59
2022-01-08,TOTAL US,MORNINGSTAR FARMS,MORNINGSTAR FARMS ORIGINAL BURGER 8OZ,1000000838805,BUFFALO,FROZEN PLANT-BASED MEAT,Winter,Price Reductions Only,1431,6926.04,4.84
2022-01-08,WEST,MORNINGSTAR FARMS,MORNINGSTAR FARMS VEGGIE BURGER 9OZ,1000000656098,SPICY BLACK BEAN,FROZEN PLANT-BASED MEAT,Winter,No Merch,640,3987.2,6.23
2022-01-08,MIDWEST,MORNINGSTAR FARMS,MORNINGSTAR FARMS SPICY BLACK BEAN BURGER 9OZ,1000000358716,SPICY BLACK BEAN,FROZEN PLANT-BASED MEAT,Winter,Display Only,2029,16029.1,7.9
2022-01-08,NEW YORK,MORNINGSTAR FARMS,MORNINGSTAR FARMS SPICY BLACK BEAN BURGER 9OZ,1000000358716,CLASSIC,FROZEN PLANT-BASED MEAT,Winter,Feature Only,844,5722.32,6.78
2022-01-08,WEST,MORNINGSTAR FARMS,MORNINGSTAR FARMS VEGGIE BURGER 9OZ,1000000656098,BACON,FROZEN PLANT-BASED MEAT,Winter,Display Only,1243,9260.35,7.45
2022-01-08,NORTHEAST,MORNINGSTAR FARMS,MORNINGSTAR FARMS ORIGINAL BURGER 8OZ,1000000838805,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Display Only,1137,8914.08,7.84
2022-01-08,NORTHEAST,MORNINGSTAR FARMS,MORNINGSTAR FARMS VEGGIE BURGER 9OZ,1000000656098,BUFFALO,FROZEN PLANT-BASED MEAT,Winter,Price Reductions Only,798,4101.72,5.14
2022-01-15,NORTHEAST,BEYOND MEAT,BEYOND BACON PLANT-BASED STRIPS 3OZ,1000000204949,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Display Only,774,6989.22,9.03
2022-01-15,NEW YORK,BEYOND MEAT BEYOND BURGER,BEYOND BURGER PLANT-BASED PATTIES 8OZ,1000000772224,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Price Reductions Only,1973,12548.28,6.36
2022-01-15,CALIFORNIA,GARDEIN,GARDEIN ULTIMATE BEEFLESS BURGER 14OZ,1000000328237,CLASSIC,FROZEN PLANT-BASED MEAT,Winter,Special Pack Only,703,4063.34,5.78
2022-01-15,NORTHEAST,IMPOSSIBLE,IMPOSSIBLE BURGER PLANT-BASED MEAT 12OZ,1000000808620,BUFFALO,FROZEN PLANT-BASED MEAT,Winter,Feature And Display,813,6690.99,8.23
2022-01-15,NEW YORK,IMPOSSIBLE,IMPOSSIBLE BURGER PLANT-BASED MEAT 12OZ,1000000808620,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Feature And Display,1133,10197.0,9.0
2022-01-15,CALIFORNIA,IMPOSSIBLE,IMPOSSIBLE CHICKEN NUGGETS 13.1OZ,1000000854391,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Price Reductions Only,1713,14988.75,8.75
2022-01-15,NEW YORK,IMPOSSIBLE,IMPOSSIBLE BURGER PLANT-BASED MEAT 12OZ,1000000808620,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,No Merch,1006,10894.98,10.83
2022-01-15,TOTAL US,IMPOSSIBLE,IMPOSSIBLE SPICY BURGER 12OZ,1000000211924,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,No Merch,577,4742.94,8.22
2022-01-15,NORTHEAST,MORNINGSTAR FARMS,MORNINGSTAR FARMS SPICY BLACK BEAN BURGER 9OZ,1000000358716,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Special Pack Only,709,4005.85,5.65
2022-01-15,NORTHEAST,MORNINGSTAR FARMS,MORNINGSTAR FARMS BACON STRIPS 5.25OZ,1000000470437,BUFFALO,FROZEN PLANT-BASED MEAT,Winter,Feature And Display,1333,7638.09,5.73
2022-01-15,NORTHEAST,MORNINGSTAR FARMS,MORNINGSTAR FARMS BACON STRIPS 5.25OZ,1000000470437,BACON,FROZEN PLANT-BASED MEAT,Winter,Price Reductions Only,1062,5798.52,5.46
2022-01-15,TEXAS,MORNINGSTAR FARMS,MORNINGSTAR FARMS SPICY BLACK BEAN BURGER 9OZ,1000000358716,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Feature Only,2079,15675.66,7.54
2022-01-15,CALIFORNIA,MORNINGSTAR FARMS,MORNINGSTAR FARMS VEGGIE BURGER 9OZ,1000000656098,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Any Merch,1599,9242.22,5.78
2022-01-15,WEST,MORNINGSTAR FARMS,MORNINGSTAR FARMS BUFFALO WINGS 8OZ,1000000049755,BUFFALO,FROZEN PLANT-BASED MEAT,Winter,Feature Only,887,5322.0,6.0
2022-01-15,WEST,MORNINGSTAR FARMS,MORNINGSTAR FARMS BUFFALO WINGS 8OZ,1000000049755,CLASSIC,FROZEN PLANT-BASED MEAT,Winter,Price Reductions Only,1027,6120.92,5.96
2022-01-15,WEST,MORNINGSTAR FARMS,MORNINGSTAR FARMS BUFFALO WINGS 8OZ,1000000049755,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Feature And Display,1990,11442.5,5.75
2022-01-15,MIDWEST,MORNINGSTAR FARMS,MORNINGSTAR FARMS SPICY BLACK BEAN BURGER 9OZ,1000000358716,CLASSIC,FROZEN PLANT-BASED MEAT,Winter,Display Only,1829,11028.87,6.03
2022-01-15,NEW YORK,MORNINGSTAR FARMS,MORNINGSTAR FARMS BACON STRIPS 5.25OZ,1000000470437,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Price Reductions Only,516,3111.48,6.03
